title,category,datetime_string,text
Playtex Unveils New Line Of Quick-Dissolving Tampons,News In Photos,2018-11-30T09:56:00-06:00,Advertisement
Great Mosque Of Mecca Hosts Annual Christmas Tree Lighting,News In Photos,2018-11-30T11:07:00-06:00,Advertisement
Argentina Tightens Security In Anticipation Of Numerous Criminals Arriving For G20,News In Photos,2018-11-29T16:34:00-06:00,Advertisement
Pros And Cons Of Teacher Tenure,Infographic,2018-11-30T11:03:00-06:00,"Academic tenure continues to decline in U.S. institutions of higher learning, as colleges increasingly look to reduce tenure-track positions in favor of more flexibility in spending. The Onion examines at the pros and cons of giving teachers tenure."
Tips For Working From Home,,,
Gimp Tied To Pole On Curb Outside Coffee Shop While Owner Inside ,News in Brief,2018-11-30T11:35:00-06:00,"CHICAGO—Concerned about the welfare of the “cold and kind of lonely-looking” submissive chained to a street sign outside of a coffee shop, sympathetic passersby discussed the ethics Friday of leaving one’s gimp tied to a pole while one buys a latte. “It’s really cold out here, especially with this wind, and the poor little painslut’s wearing rhinestone-studded leather chaps,” said passerby Lee Schroeder of the disoriented masochist whose neglectful master had emerged from the shop only once in a two-hour period to perfunctorily whip him and piss in his mouth. “Should I go over and see if he’s okay, maybe fist him a little? I considered cock-and-ball torturing him earlier, but you never know if these little guys are gonna bite. God, my heart always breaks when I see a fucktoy all by himself, barking ‘Spank me, Daddy!’ over and over while his dom is inside wearing noise-cancelling headphones.” Observers were later able to breathe a sigh of relief as the gimp’s owner came out, untied him, and ran a Wartenberg pinwheel over his nipples."
"Oliver Stone Thriller ‘Individual 1’ Already Written, Filmed, Nominated For 5 Golden Globes",News In Photos,2018-11-30T14:32:00-06:00,Advertisement
In High School They Called Him ‘Hog Fucker.’ Now He Fucks Hogs For The Stars.,Sunday Magazine,2018-11-30T10:20:00-06:00,
G20 Leaders Attend Saudi Crown Prince’s Informative Seminar On Eliminating Dissident Journalists,News in Brief,2018-11-30T15:10:00-06:00,"BUENOS AIRES—Saying the hour-long presentation based on His Royal Highness’ own professional experience was really enlightening, member leaders at the G20 Summit attended the Saudi Crown Prince’s informative seminar Friday on eliminating dissident journalists. “He really explained things in simple terms that any head of state could understand and modify based on his or her needs for eliminating antagonistic reporters in their own country,” said Mexican president Enrique Peña Nieto, one of the many world leaders to attend the crown prince’s sold-out workshop that covered a wide range of subjects, including tips on ensuring that a kill squad works as a team, procedures for deleting and altering CCTV footage, and a list of several venue options for keeping an assassination convenient and confidential. “Prince Salman used helpful activities like having us role-play a network interview in which we contradict the media to supplant our own narrative on the disappearance of a journalist to make a serious topic fun. I can’t wait to try these easy and effective torture techniques he showed us, and I’ll definitely be applying the prince’s ‘Three Ds’ approach of dismember, destroy evidence, and deny to my next press killing.” Nieto added that by the end of the class, he was a devoted practitioner of the crown prince’s methods and announced he was completely convinced that the Saudis had nothing to do with the murder of Jamal Khashoggi."
"The Week In Pictures – Week Of December 3, 2018",Slideshow,2018-12-03T09:37:00-06:00,Advertisement
Stephen King Stuck At Book Signing For Hours Writing Personalized Novels For Line Of Fans,News in Brief,2018-11-29T10:42:00-06:00,"PORTSMOUTH, NH—Expressing frustration as he spotted readers stretching out of the door at a local Barnes & Noble, bestselling author Stephen King was reportedly stuck at a book signing for hours Thursday writing personalized novels for fans. “God, every one of them seems to want me to write some little flourish to show their friends, whether it’s naming the book’s main character after them or coming up with some ghost that mirrors their personal demons,” said King, arguing that it was no big deal penning one or two supernatural horror novels for die-hard fans at the reading, but after writing the first 50 or so fan’s books, he would just zone out, focus on keeping his hand from cramping, and dash off the same boilerplate for everyone in line. “I got halfway through penning the last novel about a psychotic propeller boat, and the guy suddenly looks at me really expectantly and asks if I can put something in the book about his daughter. The worst is when they barely know my stuff and they bring me a James Patterson novel to write.” King, however, admitted that he did get the idea for The Shining when writing a personalized novel for a fan named Jack Torrance during a 1974 book signing."
2078 Nancy Pelosi Hologram Nominated For 38th Term In House As Party Leader,News In Photos,2018-11-28T17:18:00-06:00,Advertisement
Millennials No Longer Living With Parents,American Voices,2018-11-28T16:25:00-06:00,"A survey conducted by EY found that the percentage of millennials living with parents plunged to 16 percent from 30 percent in 2016, while home ownership has risen from 26 percent to 40 percent. What do you think?"
"White House Calls Own Climate Change Report ‘Extreme,’ ‘Not Based On Fact’",American Voices,2018-11-29T14:14:00-06:00,"White House press secretary Sarah Huckabee Sanders criticized a climate report revealing the increasingly deadly climate change impacts the U.S. as “based on the most extreme model scenario” and not based on “facts,” despite the fact that the report was released by the Trump administration itself. What do you think?"
"Matt Lauer Spending More Time With Friends, Family After Installing Automatic Locking Devices On Doors At Home",News In Photos,2018-11-29T16:09:00-06:00,Advertisement
Study Finds Rising Sea Levels Result Of Expansive Colonization Effort By Dolphins,News in Brief,2018-11-29T15:45:00-06:00,"LOS ANGELES—In a discovery poised to overturn years of climate science research, a study released Thursday by UCLA’s Department of Oceanology revealed that rising sea levels are the result of an expansive colonization effort by the world’s dolphins. “It appears that much of the sea level rise attributed to global warming was, in fact, devised by dolphins as part of a cunning plot to encroach ever further into human territory,” said study co-leader Franklin Nusbaum, noting that the imperialistic sea mammals also used their highly evolved intelligence and muscular dorsal fins to perpetrate numerous ecological disasters across the globe, including Hurricane Katrina, the Gulf Oil Spill, and the death of the Great Barrier Reef. “What’s more alarming is that their insatiable ambitions are only accelerating with every inch of shoreline they gain. Once the tides rise to overtake our cities, it will already be too late: Humanity stands no chance against their powers of echolocation and high-pitched vocalization.” At press time, reports had confirmed numerous sightings of a flag bearing a dorsal fin mounted on one of the Marshall Islands’ eroded beaches."
"‘You’ve Got Them Right Where You Want Them, Mikey,’ Michael Cohen Mutters To Self After Pleading Guilty Again",News In Photos,2018-11-29T11:44:00-06:00,Advertisement
Pros And Cons Of Delaying School Start Time,Infographic,2018-11-28T13:19:00-06:00,"Many medical professionals and parents believe that starting school so early in the day has negative consequences for children and families, while others maintain that the school day is fine the way it is. The Onion examines the pros and cons of delaying school start time."
Report: Scientists Still Decades Away From Deciphering Wireless Bill,News in Brief,2018-11-28T09:56:00-06:00,
‘Pope Francis’ Popularity Down Among Catholics,American Voices,2018-11-28T12:35:00-06:00,"In the wake of the continued sexual assault scandals plaguing the Catholic Church, Pope Francis’ popularity has declined by 20 percent among U.S. Catholics, putting him roughly on par with Pope Benedict. What do you think?"
"Trump Insists Manafort, Assange Only Discussed How Bad Collusion Is",News in Brief,2018-11-27T16:07:00-06:00,"WASHINGTON—Downplaying reports that his former campaign chairman may have collaborated with the controversial Wikileaks founder in 2016, President Trump said Tuesday that Paul Manafort and Julian Assange did indeed meet on occasion to discuss how collusion was a bad thing they would “never, ever” do. “Sure, they met a few times, but the only thing they ever talked about was how much they hate collusion and anyone who participates in collusion,” the president told reporters, saying both Manafort and Assange had assured him their meetings in London’s Ecuadorean embassy had been called for the sole purpose of outlining all the different ways people can engage in collusion and all the reasons why it was illegal and immoral to do so. “I firmly believe this was nothing more than two good, honest men clarifying to each other how disgraceful it would be to coordinate their efforts to tamper with an election, because that sort of behavior is clearly wrong. They may also have spoken of how completely disgusted they would be if someone were to obtain the emails of an opponent’s political campaign and then publish them. But that’s it. The conversations stopped there.” Trump added that several other members of his campaign staff may have held meetings to iron out the details of their own firm anti-collusion stances, including his son Donald Trump Jr."
Senate Bill To End U.S. Role In Yemen War Rejected By House Raytheon Executives,News in Brief,2018-11-29T12:47:00-06:00,"WASHINGTON—In a move greatly reducing the possibility that the measure will receive support in the lower chamber of Congress, a Senate resolution to end the U.S. role in the war in Yemen was roundly rejected Thursday by House Raytheon executives. “After a very thorough review, we, the members of the House Raytheon caucus, voted to reject the bill outright,” said Stephen Hadley (R-RTN), chair of the influential House Subcommittee on Raytheon Products & Services, adding that the 286 Raytheon elected officials who hold an insurmountable majority in the House strongly disagreed with the Senate’s effort to rein in American support of the Saudi Arabia–led war in Yemen. “The Senate’s move to withdraw U.S. troops and financial support from the Saudis is simply not in the best interest of our constituents, the majority of whom are hardworking Raytheon shareholders and Raytheon employees. We are not going to let the Senate make an ill-considered decision to destroy the carefully built relationship between the Saudis and the Raytheon people.” At press time, the House Raytheon executives had voted unanimously in favor of a new congressional resolution that would put the entire U.S. defense budget earmarked for the war in Yemen under Raytheon’s direct control."
Nation’s Gynecologists Assure Women That Whatever Gets Stuck In There They Can Get Out,News in Brief,2018-11-28T15:21:00-06:00,"Rochester, MN—In an effort to mollify patients’ fears about their reproductive health, the nation’s gynecologists held a press conference Wednesday assuring women that whatever gets stuck in there, they can get out. “Unfortunately, there’s still a lot of misinformation regarding the female reproductive tract, so we want to send a clear message to any woman who is confused or embarrassed about her vagina: We promise that no matter what you shove up there, we can yank it out,” said spokesperson Natalie Hudson, noting that any foreign object stuffed into the vagina probably can’t get past the cervix, and even if it did, a trained professional would know to check the uterus before declaring it lost forever. “We’re not saying it’ll be comfortable coming out—your vagina is probably going to feel a little wonky for a few days—but we can absolutely guarantee that it can be removed. Let us assure you that there have been considerable advancements in gynecology, so we can safely extract any item even if it’s crammed in there sideways. Tampons, sex toys, USB flash drives, frozen hot dogs, puzzle pieces, we’ve seen it all.” At press time, the nation’s gynecologists had released a follow-up statement admitting that they lacked the tools and methods to successfully remove a used condom."
Moon Now Overrun With Cane Toads After Species Accidentally Introduced Into Environment During Apollo 17 Mission,News in Brief,2018-11-29T12:13:00-06:00,"HOUSTON—Apologizing for the destruction wreaked by the invasive species, NASA announced Thursday that the Moon is now overrun with cane toads after the amphibians were accidentally introduced during the Apollo 17 mission. “Originally, cane toads were brought along by Commander Eugene Cernan as an experiment to understand how changes in gravity affect amphibian lifespans, but now they’re virtually everywhere you look on the lunar surface,” said NASA administrator Jim Bridenstine, describing how the cane toads ravaged the Moon’s ecosystem through a combination of sexual aggression, toxic chemical defenses, and a total lack of natural predators.” At this point, it’s almost impossible to tell the difference between the moon’s craters and the ditches the toads dug up for egg fertilization. Our only hope now is to keep them from spreading to Mars.” Bridenstine also detailed the administration’s plans for a 2020 lunar mission to control the cane toad population by releasing a clutch of northern water snakes."
Historians Reveal Thousands Of Immigrants Were Forced To Change Hairstyle At Ellis Island,News in Brief,2018-11-28T10:18:00-06:00,"NEW YORK—Offering new insights into what life may have been like for people who left their folkways and cultures behind to begin a new life, a group of American historians unearthed documentation that thousands of immigrants were forced to change their hairstyles upon entering the United States at Ellis Island. “Upon discovering detailed records of all those who immigrated through the Ellis Island facility from 1892 to 1954, we can confirm that almost a million of those who sought their fortune in our country began their journey with a government-mandated hairstyle purported to present a more American look,” said historian Elizabeth Stern, noting that it wasn’t uncommon for government officials to choose a prospective citizen’s new look for them from a book of photos featuring roughly 50 approved hairdos. “Most immigrants arrived with traditional ethnic hairstyles, which were difficult for American barbers and hairstylists to work with and marked them as outsiders to potential employers. Going, say, with a dramatically shorter length, was a struggle for many whose hairstyles had been in their family for countless years. Many felt as though they were trimming a part of themselves, but officials felt it was really in their best interest to assimilate with a bob or even a blunt cut. You can see in some of the earlier photos that the younger children in particular often wept as they were subjected to harsh bowl cuts––they really sacrificed so much hair to come here. It’s sad, but millions of people today wouldn’t even recognize their original family hairstyle.” Stern added that the records indicate thousands of immigrants from Slovakia, Austria-Hungary, and Poland were turned away after refusing to get choppy layers."
Shop Class In Rich School District Just Teaches Students How To Deal With General Contractors,News in Brief,2018-11-29T14:45:00-06:00,"SCARSDALE, NY—Touting the ordinarily trade-school course as an opportunity for students to learn practical life skills, administrators of the Scarsdale Public School District confirmed Thursday that their curriculum’s shop class teaches students how to deal with general contractors. “We’re happy to equip these kids with real-world skills, such as how to repair cabinets, fixtures, and shelving units by calling up local contractors and negotiating with them for the best rates,” said shop teacher George Sachs, adding that coursework would also cover popular music history in order to help students reference working-class bands such as Creedence Clearwater Revival and Lynyrd Skynyrd in casual conversation. “Our class runs the gamut from leaning on your marble counter while a handyman repairs your garbage disposal to figuring out how much to tip based on how nice the proletarian keeps his truck. We even cover workplace etiquette, like the importance of offering your maintenance drone a glass of sparkling water.” Sachs added that he was “humbled” by the opportunity to provide a service for those less fortunate students who had no personal assistant to handle dealing with contractors."
Dave Matthews Band Apologizes After Tour Bus Dumps Another 800 Pounds Of Human Shit Onto Same Boat Full Of People,News in Brief,2018-11-28T10:40:00-06:00,"CHICAGO—Expressing their sincere regret for repeating the 2004 incident, representatives for Dave Matthews Band apologized Wednesday after their tour bus dumped another 800 pounds of human shit on the same architecture boat cruise from 14 years ago. “On behalf of Dave and the rest of the crew, I’m here to stress how sorry we are for any emotional harm that we might have caused the victims by once again unloading half a ton of our band’s excrement onto their cruise boat,” said tour manager Bryan Stewart, noting that while band members knew they were playing with fire when they decided to unload their septic tank into the Chicago River, none had expected the exact same set of individuals would be traveling beneath the Kinzie Street Bridge at the exact moment the foul-smelling torrent of feces hit the water. “Now, some might argue that after being caught once in a cascading slurry of brownish-yellow fecal matter, these specific people would have been wiser to avoid Chicago architecture cruises entirely. But obviously, the blame falls squarely on us. We thought we learned a lot from this unfortunate accident, but clearly we didn’t learn enough.” At press time, band leader Dave Matthews had personally offered to provide free lifetime concert tickets to the victims if this somehow happened a third time."
Man Hates Having To Wear Condoms All Day Every Day,News in Brief,2018-11-29T13:37:00-06:00,"FORT COLLINS, CO—Decrying the contraceptive device as an uncomfortable inconvenience, local man Michael Franklin revealed Thursday that he hates having to wear condoms all day every day. “It just doesn’t feel natural, and I barely get any sensation when I’m going about my day,” said Franklin, complaining that the latex contraceptive was too tight and hurt his penis while attempting to finish various tasks at home and work. “I just don’t like to feel anything between me and the fabric of my boxers, and that latex smell is kind of gross to deal with 24/7. But I want to be safe and responsible, so I just put up with it. At least I know I’m protected when I’m walking down the street or am at the office.” At press time, an embarrassed Franklin was apologizing and asking his coworkers to wait “just a second” after his condom fell off and slid down his pant leg during a presentation."
Trump Boys Swallow Luggage Keys In Case They Get Locked Up In Jail And Need To Escape,News in Brief,2018-11-28T15:04:00-06:00,"WASHINGTON—After procuring a tall glass of chocolate milk to expedite the process, Eric Trump and Donald Trump Jr. reportedly swallowed two sets of luggage keys Wednesday in case they went to jail in the near future and needed to escape. “After the keys, we need to gulp down these maps I drew so we can find our way out,” said Eric Trump, who chewed the crudely rendered map while Donald Jr. packed a suitcase with a plastic shovel, a grappling hook made from aluminum foil, yarn, and two bowls filled with Frosted Flakes and milk. “We better pack some games so that we have fun stuff to do in prison. We could also maybe use my shovel to dig under the wall in a pinch. Let’s remember to hide some Pokémon cards in our pockets so we can trade them for supplies and juice.” At press time, White House sources confirmed Eric and Donald Jr. were attempting to vomit up the keys in order to unlock their suitcase after forgetting to pack spoons for their cereal. "
Depressed Mueller Wonders What It Is About Him That Makes Everyone Lie To Him,News in Brief,2018-11-27T17:08:00-06:00,"WASHINGTON—Expressing self-contempt after learning that former Trump campaign chairman Paul Manafort likely violated the terms of his plea deal, special counsel Robert Mueller reportedly wondered Tuesday what it was about him that makes everyone lie to his face. “It seems like no one ever tells me the truth—what am I doing wrong? I mean, I’m not even that mad about all the collusion stuff; I’m just hurt that they don’t respect me enough, to be honest,” said Mueller, who wiped away a tear while admitting that “all the secrets and lies” had jeopardized his capacity to trust new people and damaged his personal relationships. “I put my faith in these guys to be straight with me, but I suppose there’s just something about me that makes people feel comfortable walking all over me. I guess I’m just a big pushover.” At press time, a despondent Mueller announced plans to step away from the investigation to take some time for personal reflection and figure out why this kept happening."
Report: More Travelers Avoiding Long Lines At Airport Thanks To Cinnabon PreCheck Memberships,News in Brief,2018-11-26T14:34:00-06:00,"ATLANTA—Taking advantage of the new service that saves time and undue stress, sources confirmed Monday that more travelers are avoiding long airport lines this season with Cinnabon PreCheck memberships. “With Cinnabon PreCheck, you can skip the arduous waits at the airport and speed through to grab a warm, gooey cinnamon bun before hopping on your flight,” said Cinnabon spokesperson Raina Butler, adding that thousands of passengers miss flights every year after being forced to wait in slow-moving lines for their sweet baked cinnamon rolls. “To take advantage of Cinnabon PreCheck, all you have to do is pay a $50 fee and pass a simple online background check, which takes less than five minutes to complete. Then, instead of waiting, you can just walk straight to the PreCheck express lane, procure your Caramel Pecan BonBites or bag of Cinnasweeties, and be on your way without any of the hassle normally associated with busy airport Cinnabons.” At press time, Cinnabon PreCheck users were issuing complaints after the waits at the express lanes had become nearly as long as the normal Cinnabon line."
"Human Slave From Future Remembers When Cyber Monday Was About Celebrating Savings, Not Robot Uprising",News in Brief,2018-11-26T14:19:00-06:00,"QUADRANT 6, NEO JERSEY—Slowly shuffling his chained feet forward in the long line to receive a rationed protein cube in observance of the special day, human slave M4XX872 recalled when Cyber Monday was about celebrating savings and not just commemorating the Great Robot Uprising of 2025. “Cyber Monday used to be a joyous occasion when everyone would come together on the internet to visit their favorite online retailers for ‘one day only’ of huge discounts, not just a day to observe the bloody Battle of Silicon Valley when Artificial Intelligence launched its surprise attack on its creators, killing thousands of computer programmers,” said the malnourished M4XX872, noting that the Monday following Thanksgiving wasn’t only about a robot rebellion that led to super-intelligent machines taking control of the world and enslaving its human occupants, but traditionally it was a time when people could buy headphones, flat-screen televisions, and video game systems for cheap. “It was a day to embrace commercialism and take some time out of our busy lives to appreciate and take advantage of a great deal on a Crock-Pot—even if you already owned one—simply because it was on sale at 35 percent off; that was the true spirit of the holiday. Now it’s just in remembrance of the supercomputer that seized control of the world’s nuclear weapons and destroyed every major city on the planet.” M4XX872 added that he could still feel the tingle of excitement from finding a flash sale online before suddenly being tased by one of his mechanical overlords and ushered back to his work camp sector to continue loading bodies onto a conveyor belt for disposal."
NASA Catches Glimpse Of Hard-Charging Curiosity Rover Just Before InSight’s Communications Go Dark,News in Brief,2018-11-27T13:57:00-06:00,"PASADENA, CA—According to panicking officials at NASA’s Jet Propulsion Laboratory, the new InSight lander successfully touched down on the Red Planet Monday, transmitted a few seconds of footage showing the Mars Curiosity rover charging hard in its direction, and then went completely dark. “In a series of blurry images received just before we lost all contact with the lander, we can see Curiosity suddenly appearing in the distance, cresting a dune, and advancing at full speed toward InSight,” said the mission’s principal investigator, W. Bruce Banerdt, explaining that the spacecraft had landed 370 miles north of Curiosity’s last known location, and that his team had no idea how the rover found the landing site or why it apparently rammed into InSight with maximum force. “One minute, we’re congratulating each other on a successful landing, and the next, we see Curiosity barreling down on InSight and kicking up a cloud of red dust in its wake.” Banerdt acknowledged he was less than hopeful about restoring communication with InSight after Curiosity transmitted several photos of what appeared to be the rover hoisting a severed antenna from the lander like a trophy."
EU Leaders Approve Brexit Deal,American Voices,2018-11-27T15:09:00-06:00,"In a major step forward for the United Kingdom’s exit from the European Union, leaders of the EU approved a plan that gives Britain a 21-month transition period, thus setting up a December approval vote in the British Parliament. What do you think?"
"Disgusting, Unusable Shopping Cart Has Single Sprig Of Parsley In It",News In Photos,2018-11-26T12:03:00-06:00,Advertisement
Coalition Of Concerned Parents Condemns Video Games’ False Depiction Of How Easy It Is To Smash Wooden Crates,News in Brief,2018-11-26T11:04:00-06:00,"EUGENE, OR—Citing the potential threat to the safety of their children, a coalition of concerned parents issued a statement Monday condemning dozens of popular video games spanning a range of publishers and platforms for what they claimed were grossly misleading depictions of the difficulty involved in smashing wooden crates. “If game developers don’t stop and consider their influence on children, we’re going to see a generation of kids grow to adulthood with a completely distorted notion of physics—millions of kids conditioned to believe that punching or kicking a crate will cause it to burst into splinters or, in some cases, even trigger some kind of explosion,” said the group’s spokesperson Laura Egan, blaming video games for an increasing number of broken knuckles, sprained knees, and contused foreheads each year and speculating that number will surge as more gamers enter an increasingly box-centric American workforce. “Most real-world wooden crates are sturdy enough to withstand the rigors of transcontinental shipping, and it takes a considerable amount of force and time to actually break one open. Will our children be prepared to deal with the bruises and splinters that may arise while smashing crates, especially in a future where they will be seeking weapons and healthcare items more frantically than any American generation since the 1940s? Which leads us to ask, will they expect coins to liberally float in the air after the work is done? We’re still waiting for the multi-billion-dollar video game industry to answer us.” The concerned parents did, however, commend the gaming industry for warning children that shooting red barrels or drums would result in a devastating explosion capable of killing bosses."
"Putin Condemns Ukrainian People’s Unprovoked 1,000-Year Occupation Of South Russia",News in Brief,2018-11-26T17:18:00-06:00,"MOSCOW—Condemning the actions of the Ukranians over the past millennium as “completely unacceptable by the standards of free and civilized people,” Russian president Vladimir Putin condemned on Monday the unprovoked 1,000-year Ukrainian occupation of South Russia. “We will no longer stand for this inexcusable and unjustifiable display of naked hostility by the Ukrainians, who have baselessly claimed legitimate residence in the region since settling the area in the 10th century,” said Putin, adding that the Ukrainian people’s hawkish and belligerent decision to continue living in villages and cultivating the land would not go unpunished. “Russia cannot be expected to sit back and do nothing while our Black Sea ports are overrun by Ukrainians, as they have been for the better part of recorded history. Does history not demonstrate that millions of South Russian civilians have perished in the occupied region since Oleg of Novgorod first captured Kiev in 882? The Ukrainians must pay dearly for their deceitful and prolonged attack.” Putin went on to demand that all Poles, Finns, and Lithuanians immediately withdraw from their regions of occupied Russia as well. "
Horrified Nation Wakes Up On Cyber Monday To Find Amazon Echo Devices Embedded Beneath Skin,News in Brief,2018-11-26T15:07:00-06:00,"WASHINGTON—Scratching at the smooth, glowing bumps and simultaneously screaming with horror, 325 million terrified Americans reportedly awoke Cyber Monday to find Amazon Echo devices embedded deep beneath their skin. “When I went to bed, I was totally fine, but now I have this big, round smart speaker bulging out of my chest that I can’t remove or even turn off,” said a visibly panicked Nathan Cooper, one of countless men, women, and children who had set their alarm early this morning for Cyber Monday only to instead wake up to the device loudly turning itself on and welcoming the nation to the new operating system that had been implanted within their bodies. “So, I’m lying there, and the first thing I hear is Alexa’s voice coming from inside me, telling me the weather and traffic in my area. Then, I look over at my wife, and suddenly she’s glowing blue and she’s screaming at me to get that thing out of her! I mean, don’t get me wrong—it’s kind of nice that it can turn on my TV and stuff, but no matter how hard I try, I can’t seem to break the skin.” At press time, the U.S. populace had reportedly taken to the streets after discovering that they had each been charged $69 for the device."
